protocol_type,service,flag,src_bytes,dst_bytes,logged_in,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate
2,51,9,3010,68695,0,125,64,0.22,0.51,204,235,0.28,0.2,0.66,0.91,0.73,0.99,0.46
0,15,10,3902,82253,1,348,67,0.07,0.33,37,24,0.62,0.74,0.25,0.35,0.85,0.57,0.29
1,12,7,4815,8855,0,377,41,0.77,0.23,241,241,0.74,0.42,0.53,0.31,0.44,0.27,0.32
0,46,5,4321,90890,0,367,40,0.22,0.12,213,69,0.25,0.59,0.64,0.63,0.9,0.91,0.7
0,64,10,3870,66759,0,23,93,0.89,0.3,23,119,0.3,0.11,0.23,0.33,0.73,0.84,0.57
2,59,7,2839,68990,0,415,27,0.13,0.46,65,157,0.64,0.63,0.09,0.4,0.75,0.08,0.49
1,26,8,3074,44459,1,366,39,0.62,0.48,45,233,0.97,0.37,0.27,0.27,0.09,0.94,0.2
1,29,11,4640,46414,0,331,53,0.69,0.58,74,129,0.21,0.33,0.05,0.34,0.62,0.37,0.88
2,4,1,2525,97257,1,62,40,0.66,0.36,163,185,0.65,0.98,0.07,0.68,0.34,0.32,0.78
2,50,10,3481,27073,1,212,52,0.32,0.92,102,123,0.91,0.43,0.16,0.92,0.67,0.34,0.14
2,25,11,2017,55511,0,252,37,0.88,0.5,176,137,0.46,0.68,0.16,0.58,0.57,0.32,0.37
1,40,11,3378,41900,0,96,67,0.77,0.42,28,100,0.32,0.63,0.25,0.01,0.11,0.52,0.54
2,32,7,3285,23199,1,209,19,0.51,0.05,129,208,0.67,0.1,0.94,0.26,0.53,0.58,0.45
2,37,4,3101,54526,0,57,34,0.6,0.6,243,15,0.03,0.75,0.58,0.95,0.45,0.43,0.4
0,10,5,4514,32272,1,234,78,0.57,0.6,72,74,0.36,0.32,0.42,0.91,0.78,0.41,0.72
2,38,2,3608,99320,0,358,85,0.95,0.58,41,229,0.26,0.8,0.56,0.12,0.5,0.74,0.05
2,61,10,1051,37301,0,326,66,0.9,0.89,23,144,0.22,0.61,0.01,0.91,0.48,0,0.47
1,27,5,4704,63957,0,65,10,0.24,0.76,212,230,0.18,0.32,0.89,0.96,0.72,0.95,0.26
2,7,9,86,5,1,293,52,0.26,0.87,160,176,0.74,0.36,0.53,0.32,0.67,0.71,0.08
1,9,1,3097,43226,0,324,42,0.98,0.06,87,36,0.96,0.73,0.45,0.7,0.99,0.71,0.46
0,59,3,4808,30208,1,479,60,0.24,0.32,7,246,0.38,0.55,0.94,0.56,0.35,0.42,0.17
0,36,4,2439,23103,0,331,81,0.95,0.32,203,53,0.05,0.67,0.73,0.34,0.69,0.97,0.26
1,30,9,1277,74240,1,17,2,0.65,0.66,183,79,0.72,0.16,0.34,0.15,0.17,0,0.51
2,19,2,519,11452,0,135,91,0.05,0.45,72,131,0.54,0.79,0.94,0.37,0.8,0.08,0.97
1,41,7,386,99278,1,308,1,0.34,0.78,43,147,0.72,0.32,0.85,0.93,0.79,0.8,0.68
2,55,9,13,13558,0,419,50,0.48,0.38,142,41,0.65,0.62,0.95,0.81,0.73,0.74,0.28
2,6,10,4186,11008,1,130,36,0.83,0.22,14,37,0.91,0.11,0.1,0.33,0.12,0.27,0.38
2,22,4,3475,41936,1,424,97,0.33,0.29,100,240,0.14,0.32,0.96,0.55,0.99,0.59,0.41
1,24,5,3576,51885,1,37,22,0.31,0.18,244,187,0.17,0.65,0.54,0.41,0.94,0.53,0.15
0,62,10,3,66156,1,250,99,0.92,0.2,169,195,0.34,0.27,0.67,0.47,0.37,0.53,0.16
1,42,4,3069,32315,1,57,98,0.08,0.22,232,136,0.49,0.88,0.21,0.76,0.58,0.6,0.15
2,22,7,3290,45610,1,357,82,0.55,0.02,111,88,0.93,0.66,0.14,0.54,0.89,0.99,0.52
1,16,8,3659,7595,0,10,36,0.5,0.72,91,14,0.91,0.87,0.08,0.18,0.49,0.99,0.67
0,13,8,4891,78373,0,460,3,0.06,0.4,84,254,0.87,0.4,0.42,0.27,0.6,0.98,0.59
1,37,3,3938,63850,0,81,44,0.09,0.02,102,189,0.22,0.03,0.22,0.57,0.6,0.55,0.98
0,52,2,4311,8785,1,430,16,0.38,0.37,217,35,0.73,0.58,0.08,0.69,0.65,0.32,0.13
0,24,6,1602,71388,0,90,11,0.13,0.91,240,144,0.38,0.34,0.96,0.51,0.58,0.56,0.99
2,17,1,4799,10134,1,389,10,0.48,0.51,240,71,0.93,0.45,0.73,0.62,0.41,0.62,0.47
0,16,9,4826,8814,1,389,51,0.61,0.99,221,233,0.21,0.68,0.52,0.79,0.54,0.31,0.22
1,1,7,3973,77576,0,120,42,0.69,0.54,14,163,0.14,0.7,0.74,0.55,0.87,0.63,0.94
1,1,8,2542,23687,0,102,85,0.55,0.96,28,8,0.84,0.03,0.61,0.98,0.86,0.62,0.47
2,30,7,1642,4529,0,495,25,0.38,0.2,30,188,0.72,0.77,0.18,0.24,0.77,0.9,0.35
1,24,5,1489,36687,1,27,99,0.13,0.29,79,12,0.82,0.49,0.63,0.92,0.41,0.24,0.21
2,46,5,4058,67060,0,261,6,0.25,0.7,54,177,0.16,0.56,0.68,0.25,0.79,0.7,0.27
1,2,7,3233,39994,1,61,44,0.42,0.99,187,252,0.88,0.3,0.24,0.53,0.39,0.45,0.98
1,15,7,1695,31497,1,136,8,0.92,0.83,213,110,0.68,0.42,0.32,0.46,0.66,0.13,0.3
0,29,2,1386,63627,1,415,34,0.2,0.55,140,80,0.65,0.71,0.38,0.37,0.57,0.32,0.98
0,62,2,4792,82812,0,97,41,0.41,0.09,247,115,0.58,0.78,0.6,0.96,0.3,0.06,0.33
0,13,7,1197,8819,0,149,1,0.73,0.36,114,252,0.76,0.39,0.13,0.27,0.45,0.32,0.23
1,65,5,2285,87243,0,227,3,0.71,0.09,120,68,0.42,0.69,0.74,0.67,0.83,0.07,0.18
2,45,2,987,45213,0,277,52,0.97,0.31,75,163,0.13,0.26,0.35,0.8,0.91,0.93,0.41
2,47,1,3989,62793,1,307,91,0.19,0.26,167,45,0.54,0.83,0.69,0.2,0.21,0.1,0.24
2,16,9,2959,30915,1,335,77,0.02,0.39,70,41,0.75,0.61,0.93,0.97,0.46,0.82,0.7
0,3,11,1261,60115,1,228,43,0.32,0.84,67,237,0.15,0.78,0.87,0.55,0.43,0.91,0.24
1,5,8,4725,552,1,315,47,0.15,0.15,233,61,0.22,0.48,0.74,0.91,0.49,0.47,0.84
0,26,2,1255,79718,0,249,83,0.55,0.31,15,224,0.7,0.23,0.19,0.66,0.98,0.05,0.83
1,15,2,587,13149,0,258,19,0.9,0.26,226,76,0.27,0.43,0.73,0.65,0.52,0.6,0.29
1,55,3,1540,97139,1,414,70,0.69,0.3,132,250,0.17,0.38,0.64,0.35,0.83,0.23,0.75
1,22,4,793,95848,0,314,47,0.14,0.36,98,213,0.89,0.33,0.77,0.77,0.66,0.18,0.86
0,37,9,3916,59849,1,220,78,0.12,0.24,102,143,0.16,0.21,0.87,0.03,0.11,0.57,0.59
1,29,6,2020,15155,1,465,5,0.91,0.94,172,99,0.34,0.76,0.31,0.56,0.7,0.36,0.37
0,26,3,118,75813,0,236,64,0.49,0.42,167,67,0.43,0.09,0.64,0.03,0.65,0.73,0.44
0,11,8,1213,98979,1,20,45,0.92,0.11,105,187,0.48,0.89,0.28,0.31,0.76,0.59,0.79
1,20,6,613,80212,0,424,64,0.74,0.47,198,2,0.36,0.18,0.35,0.1,0.07,0.83,0.29
1,33,8,4581,9785,0,413,45,0.99,0.18,86,122,0.91,0.98,0.52,0.91,0.24,0.06,0.33
1,30,10,4417,20781,1,389,36,0.87,0.22,37,134,0.66,0.99,0.43,0.63,0.77,0.23,0.16
0,50,2,4234,92794,0,345,9,0.41,0.29,186,185,0.36,0.4,0.6,0.67,0.37,0.57,0.4
1,34,8,3473,11970,0,138,23,0.76,0.12,160,16,0.36,0.99,0.76,0.85,0.91,0.88,0.09
1,5,11,3297,68800,1,467,32,0.47,0.72,123,23,0.5,0.87,0.61,0.73,0.52,0.81,0.32
2,12,5,1289,74343,0,189,93,0.23,0.79,156,95,0.03,0.08,0.97,0.12,0,0.68,0.37
2,52,10,2380,30319,0,105,45,0.24,0.39,218,114,0.93,0.95,0.74,0.62,0.7,0.57,0.26
2,51,4,223,69763,0,368,28,0.4,0.69,132,41,0.22,0.04,0.99,0.98,0.51,0.63,0.1
1,21,3,4667,26207,0,385,52,0.11,0.39,10,158,0.7,0.18,0.74,0.21,0.32,0.21,0.52
0,58,9,2823,30290,0,431,11,0.18,0.16,27,195,0.78,0.58,0.51,0.62,0.02,0.6,0.87
2,64,10,3014,97747,0,98,19,0.5,0.4,84,119,0.83,0.08,0.41,0.56,0.2,0.49,0.34
0,6,7,2640,87209,1,441,64,0.95,0.56,164,122,0.17,0.16,0.74,0.39,0.16,0.38,0.24
2,49,7,4904,9136,0,270,65,0.58,0.04,5,55,0.54,0.95,0.69,0.95,0.58,0.89,0.29
2,37,6,986,4980,1,153,73,0.41,0.65,209,208,0.08,0.99,0.67,0.36,0.77,0.83,0.86
0,10,9,1023,89734,1,218,57,0.24,0.74,178,132,0.8,0.8,0.72,0.09,0.23,0.08,0.53
2,66,3,1543,46344,1,21,66,0.2,0.86,160,110,0.49,0.52,0.87,0.96,0.7,0.99,0.13
0,56,1,1272,98135,1,272,4,0.66,0.1,99,100,0.16,0.9,0.23,0.73,0.9,0.23,0.71
1,66,7,1779,56799,1,202,29,0.85,0,151,28,0.72,0.11,0.56,0.34,0.62,0.22,0.15
1,45,9,1700,72907,1,160,4,0.4,0.07,205,178,0.33,0.94,0.6,0.28,0.78,0.94,0.06
0,68,6,3930,51107,0,492,1,0.55,0.92,189,242,0.11,0.35,0.29,0.93,0.2,0.44,0.26
0,64,10,2234,65264,0,429,92,0.71,0.77,129,242,0.46,0.86,0.99,0.27,0.07,0.81,0.17
1,16,2,4344,2396,1,64,18,0.06,0.84,31,28,0.24,0.67,0.79,0.54,0.37,0.29,0.6
0,10,8,3198,2090,1,84,13,0.35,0.52,19,123,0.95,0.96,0.32,0.21,0.71,0.87,0.48
1,21,9,3159,51975,1,73,70,0.73,0.53,215,181,0.36,0.86,0.36,1,0.69,0.83,0.72
1,12,10,3983,84449,0,60,49,0.68,0.3,54,195,0.57,0.89,0.72,0.77,0.96,0.52,0.51
0,13,8,1023,89464,0,354,47,0.05,0.84,128,26,0.95,0.63,0.01,0.57,0.63,0.71,0.42
2,10,9,3839,36941,1,479,86,0.24,0.83,162,167,0.39,0.83,0.46,0.75,0.41,0.96,0.53
0,13,1,825,9251,1,147,30,0.68,0.39,132,13,0.36,0.76,0.34,0.92,0.8,0.45,0.43
1,34,3,2736,32126,1,47,27,0.27,0.33,176,71,0.16,0.16,0.85,0.96,0.15,0.49,0.04
2,59,3,3406,39727,1,223,72,0.81,0.74,48,54,0.94,0.65,0.79,0.79,0.81,0.72,0.68
2,49,9,2774,79021,1,448,28,0.03,0.03,49,13,0.8,0.15,0.33,0.85,0.37,0.39,0.96
1,6,3,4632,97183,1,158,2,0.19,0.86,188,120,0.22,0.87,0.86,0.4,0.15,0.96,0.42
2,12,10,491,9545,0,47,20,0.28,0.45,117,59,0.33,0.07,0.91,0.39,0.16,0.04,0.42
2,29,1,1859,27275,0,472,75,0.93,0.44,172,4,0.91,0.99,0.55,0.81,0.98,0.4,0.05
0,26,3,2339,78902,0,289,78,0.8,0.67,162,80,0.54,0.4,0.16,0.76,0.62,0.71,0.89
1,68,2,591,8955,1,210,24,0.88,0.65,222,185,0.56,0.17,0.77,0.9,0.17,0.43,0.93
2,16,9,2734,28647,0,21,77,0.44,0.27,56,220,0.65,0.94,0.32,0.13,0.27,0.26,0.81
1,53,1,1492,67862,0,351,72,0.82,0.94,74,60,0.76,0.05,0.53,0.69,0.37,0.41,0.11
0,19,11,947,49610,1,319,44,0.85,0.99,6,47,0.94,0.47,0.05,0.65,0.06,0.88,0.9
0,47,2,1575,35340,1,231,21,0.4,0.53,76,77,0.8,0.77,0.5,0.8,0.11,0.55,0.02
0,32,1,682,46534,1,298,22,0.99,0.56,204,234,0.93,0.32,0.38,0.02,0.76,0.34,0.44
2,61,9,628,48702,1,445,73,0.85,0.55,113,202,0.82,0.53,0.69,0.83,0.79,0.67,0.5
0,5,7,4688,51691,1,105,58,0.97,0.49,126,5,0.05,0.7,0.04,0.33,0.99,0.61,0.83
1,59,1,4482,69705,0,126,11,0.87,0.95,210,36,0.12,0.95,0.62,0.69,0.07,0.56,0.75
0,2,10,4747,9010,0,371,80,0.78,0.24,36,19,0.88,0.1,0.77,0.62,0.89,0.39,0.8
2,2,6,2240,6073,1,299,53,0.94,0.11,163,30,0.03,0.16,0.01,0.44,0.32,0.07,0.87
0,3,5,3754,61594,1,68,9,0.42,0.93,25,111,0.79,0.51,0.75,0.75,0.33,0.62,0.48
2,43,10,100,90630,0,26,67,0.78,0.21,177,41,0.85,0.42,0.13,0.96,0.13,0.42,0.78
1,5,11,1093,89393,0,161,52,0.21,0.75,55,176,0.42,0.41,0.7,0.32,0.99,0.43,0.07
0,50,5,2491,85911,0,108,13,0.73,0.2,169,28,0.35,0.3,0.46,0.75,0.98,0.23,0.44
0,10,4,3772,90454,1,289,1,0.79,0.96,57,31,0.19,0.56,0.55,0.31,0.86,0.25,0.03
1,27,3,432,72344,1,305,44,0.72,0.79,150,228,0.05,0.88,0.34,0.85,0.09,0.79,0.92
1,24,8,536,88107,1,84,75,0.85,0.92,222,185,0.75,0.16,0.25,0.44,0.84,0.48,0.96
2,22,7,600,73144,1,41,24,0.41,0.95,172,171,0.07,0.22,0.07,0.45,0.63,0.11,0.08
0,3,5,1666,13408,0,200,5,0.54,0.08,157,241,0.94,0.67,0.86,0.77,0.13,0.05,0.53
0,16,9,2755,22692,0,36,66,0.01,0.43,71,245,0.3,0.06,0.61,0.5,0.26,0.22,0.33
0,30,7,318,27369,1,456,81,0.15,0.65,48,193,0.79,0.67,0.98,0.27,0.69,0.49,0.34
0,43,10,4941,48508,0,351,81,0.64,0.8,104,137,0.06,0.31,0.85,1,0.8,0.62,0.45
1,4,2,1862,14782,1,375,20,0.56,0.24,3,12,0.54,0.36,0.87,0.62,0.85,0.14,0.13
0,40,7,3732,5126,0,406,64,0.2,0.91,85,215,0.35,0.41,0.6,0.65,0.54,0.43,0.18
0,16,7,1527,64605,1,234,15,0.24,0.22,173,140,0.03,0.35,0.08,0.65,0.53,0.07,0.58
0,16,4,70,49595,1,242,68,0.34,0.87,20,42,0.66,0.84,0.91,0.88,0.68,0.04,0.02
2,66,8,443,3704,0,431,54,0.72,0.51,73,201,0.94,0.95,0.12,0.18,0.78,0.86,0.6
2,55,4,4694,83820,0,339,11,0.61,0.52,233,181,0.01,0.55,0.52,0.06,0.17,0.66,0.32
2,20,7,386,42477,0,20,23,0.07,0.37,164,90,0.27,0.58,0.86,0.39,0.74,0.78,0.83
1,51,4,1869,94244,0,343,1,0.76,0.1,60,222,0.7,0.07,0.47,0.56,0.34,0.18,0.6
1,57,8,4648,17940,0,152,42,0.26,0.35,78,185,0.87,0.71,0.17,0.29,0.38,0.32,0.71
1,51,3,2011,24673,1,382,47,0.67,0.43,18,212,0.19,0.58,0.37,0.69,0.08,0.44,0.11
0,18,2,2921,76589,1,171,68,0.12,0.48,97,16,0.07,0.05,0.99,0.07,0.59,0.66,0.27
0,59,10,3351,82964,1,216,38,1,0.74,243,205,0.01,0.2,1,0.79,0.09,0.53,1
1,28,6,279,79079,0,356,2,0.08,0.35,66,99,0.22,0.2,0.71,0.72,0.91,0.55,0.43
2,69,7,770,8659,1,329,45,0.74,0.41,229,178,0.07,0.17,0.89,0.21,0.62,0.16,0.36
0,28,7,953,8545,0,232,27,0.54,0.91,31,132,0.36,0.66,0.04,0.3,0.99,0.47,0.87
2,13,6,4424,49223,0,16,98,0.09,0.75,214,115,0.44,0.93,0.28,0.81,0.25,0.82,0.03
0,6,11,1559,9567,0,283,77,0.03,0.02,238,217,0.48,0.76,0.37,0.77,0.68,0.51,0.53
0,29,8,2497,66611,1,301,61,0.36,0.81,9,13,0.14,0.48,0.01,0.81,0.96,0.2,0.21
2,9,6,3446,9437,1,165,82,0.8,0.99,148,60,0.46,0.4,0.38,0.32,0.3,0.41,0.37
1,29,6,3367,9215,0,269,11,0.04,0.94,148,28,0.01,0.39,0.09,0.97,0.1,0.75,0.2
2,38,3,3547,32068,1,179,69,0.7,0.84,47,109,0.24,0.6,0.52,0.72,0.63,0.13,0.04
1,65,2,2440,53707,1,258,29,0.66,0.63,244,140,0.37,0.36,0,0.07,0.37,0.58,0.42
1,56,7,108,87206,0,76,25,0.27,0.28,1,152,0.12,0.23,0.27,0.48,0.27,0.97,0.79
0,30,6,4454,62746,0,105,78,0.08,0.65,222,92,0.81,0.6,0.87,0.66,0.99,0.38,0.95
0,59,1,955,59892,1,353,54,0.92,0.7,83,129,0.2,0.39,0.21,0.17,0.75,0.04,0.62
0,58,2,3360,4462,1,87,48,0.3,0.28,100,162,0.75,0.01,0.06,0.9,0.49,0.63,0.39
1,10,2,3489,3107,0,315,46,0.11,0.26,142,131,0.47,0.02,0.25,0.75,0.05,0.05,0.77
1,21,1,317,21086,1,14,41,0.68,0.4,129,22,0.48,0.27,0.83,0.08,0.19,0.19,0.51
2,56,3,340,84495,1,359,41,0.22,0.64,197,85,0.65,0.51,0.59,0.91,0.3,0.05,0.37
0,26,5,4444,52198,1,433,61,0.48,0.29,10,27,0.04,0.35,0.59,0.4,0.49,0.17,0.18
0,15,4,2074,18083,0,286,11,0.05,0.56,201,149,0.08,0.02,0,0.45,0.5,0.85,0.8
1,35,2,637,57945,0,247,44,0.99,0.9,177,214,0.33,0.22,0.47,0.78,0.02,0.73,0.5
0,15,8,4496,70251,0,366,32,0.45,0.3,142,141,0.42,0.1,0.27,0.64,0.94,0.34,0.96
1,6,9,4463,48723,1,241,49,1,0.97,188,44,0.43,0.95,0.34,0.44,0.54,0.9,0.8
2,28,8,2390,41214,0,354,6,0.39,0.47,231,80,0.68,0.31,0.6,0.26,0.02,0.67,0.42
2,63,7,3988,11169,0,9,57,0.35,0.1,210,110,0,0.01,0.87,0.52,0.7,0.45,0.74
0,29,10,4999,54471,1,463,6,0.91,0.06,42,24,0.96,0.66,0.18,0.58,0.07,0.07,0.45
2,48,2,3193,82755,1,24,47,0.33,0.34,124,174,0.17,0.23,0.77,0.63,0.72,0.73,0.08
0,63,6,3936,1850,1,112,63,0.43,0.26,187,17,0.25,0.57,0.05,0.61,0.7,0.38,0.52
0,58,11,4281,53916,1,297,49,0.08,0.84,25,5,0.91,0.15,0.33,0.62,0.98,0.3,0.87
1,21,4,2366,52254,0,444,22,0.96,0.74,164,38,0.01,0.98,0.22,0.48,0.34,0.29,0.86
1,22,5,3002,69185,0,217,67,0.09,0.88,95,59,0.99,0.97,0.92,0.56,0.14,0.01,0.57
0,27,9,4689,88664,1,228,19,0.77,0.59,238,234,0.04,0.66,0.18,0.29,0.09,0.74,0.38
2,57,9,1565,84453,0,32,55,0.54,0.44,35,155,0.12,0.71,0.58,0.16,0.07,0.15,0.01
2,10,4,792,35074,0,431,34,0.06,0.27,252,182,0.24,0.43,0.16,0.61,0.81,0.52,0.31
0,22,8,3704,45308,1,277,41,0,0.58,253,105,0.44,0.96,0.47,0.05,0.72,0.02,0.99
0,44,11,2400,66029,1,170,7,0.94,0.62,219,96,0.52,0.42,0.41,0.07,0.98,0.63,0.73
2,28,5,354,60649,1,231,57,0.74,0.39,247,90,0.1,0.24,0.04,0.25,0.31,0.37,0.72
2,50,9,4201,58474,0,70,16,0.69,0.94,214,71,0.07,0.12,0.83,0.19,0.8,0.63,0.76
1,51,2,3895,87620,0,111,59,0.44,0.64,139,100,0.03,0.21,0.78,0.37,0.09,0.09,0.62
1,1,4,4513,12623,0,89,38,0.24,0.84,10,55,0.26,0.57,0.28,0.37,0.9,0.27,0.59
2,34,3,4017,28360,0,2,9,0.68,0.62,8,71,0.92,0.25,0.61,0.12,0.05,0.11,0.45
1,35,7,4737,10292,0,415,77,0.61,0.32,105,171,0.39,0.65,0.36,0.25,0.79,0.65,0.44
1,61,2,2252,12207,0,56,34,0.73,0.74,220,91,0.76,0.38,0.77,0,0.31,0.11,0.87
0,30,3,564,69576,1,158,46,0.37,0.23,151,166,0.19,0.89,0.69,0.35,0.18,0.62,0.39
1,68,9,3453,67403,1,447,37,0.99,0.6,134,112,0.06,0.56,0.09,0.8,0.7,0.13,0.84
1,40,8,1302,35502,1,271,43,0.07,0.4,206,240,0.55,0.62,0.84,0.27,0.9,0.94,0.84
0,65,2,1750,31785,1,274,47,0.08,0.15,124,216,0.82,0.56,0.18,0.64,0.76,0.42,0.77
2,37,6,2590,68867,0,32,6,0.92,0.41,216,88,0.9,0.89,0.17,0.1,0.31,0.13,0.04
1,64,3,257,52592,1,270,38,0.65,0.31,64,61,0.55,0.06,0.73,0.01,0.35,0.04,0.15
1,1,6,1595,49361,1,190,61,0.33,0.11,201,173,0.29,0.07,0.18,0.5,0.19,0.33,0.31
2,15,5,1046,32209,1,210,4,0.76,0.82,46,186,0.11,0.7,0.12,0.46,0.82,0.89,0.85
1,13,10,2232,24490,1,483,5,0.45,0.5,104,108,0.67,0.77,0.34,0.19,0.11,0.14,0.87
2,29,4,2594,37876,0,308,70,0.02,0.35,38,157,0.28,0.43,0.84,0.29,0.9,0.79,0.04
0,55,7,4077,46432,0,22,60,0.65,0.5,248,182,0.84,0.35,0.18,0.03,0.6,0.42,0.32
2,45,11,3584,51881,0,14,77,0.24,0.75,153,219,0.61,0.28,0.34,0.8,0.59,0.8,0.85
2,4,10,1640,78717,1,486,88,0.12,0.02,230,34,0.86,0.23,0.29,0.3,0.84,0.87,0.25
2,64,7,1711,12261,1,206,92,0.23,0.55,222,149,0.57,0.91,0.36,0.22,0.67,1,0.98
0,15,4,48,96971,0,34,77,0.48,0.48,86,45,0.77,0.3,0.71,0.8,0.3,0.07,0.49
2,48,3,167,30090,1,342,56,0.05,0.89,2,129,0.29,0.65,0.41,0.04,0.35,0.8,0.94
2,56,4,1853,31568,1,464,82,0.88,0.56,217,138,0.5,0.79,0.76,0.28,0.17,0.07,0.43
0,15,2,3854,70306,0,56,59,0.56,0.14,24,186,0.02,0.02,0.64,0.26,0.46,0.31,0.32
1,39,4,3741,36968,1,240,7,0.29,0.39,101,94,0.61,0.03,0.36,0.26,0.11,0.65,0.36
1,69,4,2068,52913,1,437,68,0.69,0.62,250,28,0.53,0.33,0.43,0.01,0.65,0.45,0.88
2,60,5,391,74875,1,433,31,0.8,0.05,67,189,0.76,0.7,0.7,0.93,0.17,0.57,0.33
0,44,1,2950,44741,1,63,88,0.61,0.88,249,106,0.73,0.26,0.53,0.86,0.86,0.97,0.67
0,43,2,1449,31842,1,400,86,0.2,0.07,235,30,0.63,0,0.87,0.41,0.7,0.82,0.47
2,4,8,228,47109,1,80,85,0.11,0.03,90,28,0.06,0.29,0.93,0.45,0.89,0.36,0.94
