pkSeqID,proto,saddr,daddr,pkts,bytes,state,dur,mean,sum,min,spkts,sbytes,rate,srate
75,4,7,2,8,976,5,0,1376.63,11013.04,0,4,488,7615.16,0
76,4,12,15,3,429,5,0.03,697.63,2092.89,0.13,1,214,8731.68,4365.84
77,3,10,23,6,444,2,0.04,1292.07,7752.42,0.19,3,222,7861.89,3930.95
78,0,11,32,9,1521,4,0,0,0,0,4,760,3477.46,0
79,3,9,30,8,1368,0,0,627.06,5016.48,0,4,684,9175.62,0
80,0,6,31,9,1593,1,0,0,0,0,4,796,2709.97,1354.98
81,3,9,32,5,730,2,0,927.4,4637.0,0,2,365,494.18,247.09
82,3,9,14,6,744,5,0,0,0,0,3,372,0,0
83,0,9,10,10,960,2,0,1296.6,12966.0,0,5,480,0,0.0
84,4,3,25,9,837,3,0.16,293.35,2640.15,0.04,4,418,8969.88,0
85,0,10,5,7,980,1,0.02,0,0,0.16,3,490,0,0
86,0,8,3,10,840,3,0.14,1078.15,10781.5,0.02,5,420,638.97,319.49
87,3,1,5,4,276,5,0.14,0,0,0.11,2,138,16.47,0
88,4,5,39,8,880,4,0,0,0,0,4,440,6529.79,0
89,0,4,28,4,272,4,0.06,0,0,0.0,2,136,0,0.0
90,0,2,6,3,192,4,0,138.82,416.46,0,1,96,0,0
91,4,6,21,3,411,3,0,0,0,0,1,205,0,0
92,3,10,22,4,492,1,0,293.56,1174.24,0,2,246,41.77,20.89
93,4,0,33,8,840,4,0,1460.31,11682.48,0,4,420,6960.55,0
94,4,4,10,7,581,3,0,81.39,569.73,0,3,290,0,0.0
95,0,0,12,3,507,3,0.11,1007.12,3021.36,0.03,1,253,0,0
96,3,4,21,3,477,0,0,606.81,1820.43,0,1,238,1794.65,0
97,4,9,44,10,630,4,0.13,0,0,0.17,5,315,6361.32,3180.66
98,0,4,20,9,792,0,0.17,784.49,7060.41,0.06,4,396,5597.81,0
99,3,5,32,5,395,1,0.16,0,0,0.09,2,197,6998.38,3499.19
100,4,6,35,7,847,3,0.09,0,0,0.09,3,423,232.46,116.23
101,0,6,17,2,166,4,0.19,0,0,0.16,1,83,1125.19,0
102,0,8,26,5,420,2,0.2,0,0,0.09,2,210,1920.5,0
103,3,0,6,9,1035,1,0,0,0,0,4,517,1393.96,696.98
104,4,5,22,4,528,1,0,1325.22,5300.88,0,2,264,4655.11,0
105,3,11,9,9,1593,1,0.07,0,0,0.14,4,796,1770.03,885.01
106,3,12,26,5,790,3,0.07,1497.21,7486.05,0.14,2,395,4054.21,2027.11
107,3,5,6,9,585,4,0,892.51,8032.59,0,4,292,7348.35,0
108,0,4,30,8,624,2,0,938.26,7506.08,0,4,312,4840.28,0
109,3,1,23,8,576,5,0.11,0,0,0.11,4,288,870.64,0
110,0,5,33,10,970,5,0.03,1493.27,14932.7,0.09,5,485,3766.47,1883.23
111,0,1,30,4,392,2,0.2,0,0,0.02,2,196,652.13,0
112,4,8,35,7,644,4,0.09,0,0,0.02,3,322,9704.87,4852.44
113,4,12,14,4,484,1,0,668.22,2672.88,0,2,242,1421.18,0
114,0,6,43,8,1192,5,0.12,0,0,0.06,4,596,5092.47,0
115,3,10,34,8,688,1,0.15,1448.55,11588.4,0.08,4,344,8031.14,4015.57
116,0,7,17,6,720,0,0,1101.95,6611.7,0,3,360,0,0
117,3,0,33,7,826,3,0.18,0,0,0.05,3,413,3167.08,1583.54
118,0,8,10,10,1190,3,0,1424.58,14245.8,0,5,595,8818.19,4409.1
119,0,3,25,6,360,5,0,0,0,0,3,180,1540.42,0
120,4,2,27,8,1216,5,0.02,45.76,366.08,0.04,4,608,1020.97,510.49
121,3,12,17,9,1233,4,0.02,0,0,0.08,4,616,0,0.0
122,3,11,22,8,640,1,0.06,0,0,0.07,4,320,0,0
123,4,4,4,7,945,4,0,746.89,5228.23,0,3,472,7748.32,0
124,0,11,20,8,1424,2,0,1009.36,8074.88,0,4,712,0,0.0
125,3,7,35,6,534,5,0.16,1291.14,7746.84,0.15,3,267,1349.22,0
126,4,6,42,4,700,1,0,0,0,0,2,350,7937.24,0
127,0,10,3,4,340,0,0.02,316.46,1265.84,0.07,2,170,7249.31,3624.66
128,3,0,17,3,534,0,0,0,0,0,1,267,4158.85,0
129,3,3,35,5,835,3,0,901.18,4505.9,0,2,417,6309.3,0
130,3,0,7,9,1026,3,0,0,0,0,4,513,2450.26,0
131,0,1,4,7,763,4,0,0,0,0,3,381,5029.97,0
132,0,11,2,7,1134,1,0.05,1305.13,9135.91,0.09,3,567,761.82,380.91
133,4,11,3,4,568,3,0.19,301.92,1207.68,0.01,2,284,2438.72,0
134,3,3,17,5,835,2,0,0,0,0,2,417,0,0.0
135,3,10,15,7,945,5,0,454.68,3182.76,0,3,472,6922.7,0
136,3,11,23,7,1113,2,0.17,0,0,0.01,3,556,2752.85,1376.42
137,3,9,5,6,630,0,0,430.14,2580.84,0,3,315,2695.57,1347.79
138,0,1,15,8,568,4,0.09,0,0,0.19,4,284,5843.17,0
139,0,6,21,2,134,2,0,0,0,0,1,67,0,0.0
140,3,12,8,9,567,3,0.1,0,0,0.16,4,283,914.35,457.18
141,3,6,14,5,615,4,0,0,0,0,2,307,0,0
142,4,5,21,10,1710,5,0,0,0,0,5,855,0,0
143,4,11,15,8,1328,1,0,0,0,0,4,664,2011.55,0
144,4,9,31,10,1130,5,0,497.91,4979.1,0,5,565,5640.87,0
145,3,12,21,7,889,4,0,1300.42,9102.94,0,3,444,76.07,0
146,4,8,41,5,310,1,0,129.71,648.55,0,2,155,2011.95,0
147,4,1,20,4,464,2,0.03,1100.9,4403.6,0.07,2,232,1511.79,0
148,3,2,20,7,833,0,0,1177.85,8244.95,0,3,416,0,0
149,0,5,19,9,882,4,0.08,132.33,1190.97,0.03,4,441,0,0.0
150,4,12,35,2,188,5,0.09,0,0,0.18,1,94,719.6,0
151,3,11,32,6,828,5,0,0,0,0,3,414,5098.0,2549.0
152,3,12,13,3,306,4,0,501.25,1503.75,0,1,153,0,0
153,3,3,33,5,480,3,0.1,1174.87,5874.35,0.03,2,240,0,0
154,0,9,28,10,870,0,0,1175.24,11752.4,0,5,435,329.83,164.91
155,4,7,31,3,372,3,0,0,0,0,1,186,0,0
156,0,11,37,6,570,1,0.19,820.6,4923.6,0.12,3,285,8119.62,0
157,3,1,25,4,588,4,0.09,0,0,0.16,2,294,2323.81,0
158,0,8,41,9,963,1,0,0,0,0,4,481,6727.83,0
159,3,10,24,6,912,5,0.06,1357.65,8145.9,0.03,3,456,4948.29,2474.14
160,3,10,5,10,1300,0,0,0,0,0,5,650,6592.69,3296.34
161,3,4,41,10,1800,2,0,1072.31,10723.1,0,5,900,3276.38,1638.19
162,0,4,41,3,501,4,0.01,545.57,1636.71,0.15,1,250,7566.09,0
163,3,1,26,3,501,5,0,0,0,0,1,250,9011.23,4505.61
164,4,4,33,9,1116,3,0,0,0,0,4,558,7363.84,0
165,0,6,6,8,1088,0,0,0,0,0,4,544,8839.29,0
166,4,1,41,6,828,1,0,0,0,0,3,414,0,0
167,3,6,0,4,424,1,0.03,14.08,56.32,0.1,2,212,0,0.0
168,0,1,18,2,196,4,0.2,0,0,0.1,1,98,5525.38,0
169,0,12,32,2,192,4,0.11,0,0,0.04,1,96,0,0
170,3,4,23,8,928,2,0,0,0,0,4,464,9779.63,0
171,3,0,5,2,252,2,0,0,0,0,1,126,2215.92,0
172,4,4,41,8,488,2,0.08,0,0,0.2,4,244,0,0
173,3,0,22,5,525,3,0.15,384.64,1923.2,0.12,2,262,948.53,474.26
174,0,4,18,7,833,5,0,852.46,5967.22,0,3,416,9485.59,4742.8
175,0,11,33,4,516,5,0,0,0,0,2,258,3310.06,1655.03
176,0,5,19,8,840,1,0,0,0,0,4,420,0,0
177,0,10,17,8,1216,1,0,43.17,345.36,0,4,608,0,0.0
178,4,5,39,5,510,4,0.07,1437.8,7189.0,0.09,2,255,9641.9,0
179,0,3,13,2,296,0,0.11,656.34,1312.68,0.11,1,148,2569.58,0
180,4,7,7,7,1085,4,0.14,930.9,6516.3,0.19,3,542,9316.87,4658.44
181,4,1,13,7,728,4,0.01,0,0,0.11,3,364,2387.95,1193.97
182,4,10,9,4,324,1,0,0,0,0,2,162,7331.73,0
183,4,4,41,3,246,3,0.17,33.42,100.26,0.07,1,123,0,0
184,0,5,25,4,252,0,0,396.61,1586.44,0,2,126,9298.41,0
185,3,7,22,5,830,3,0.05,0,0,0.14,2,415,0,0.0
186,3,6,39,5,650,4,0,1049.88,5249.4,0,2,325,0,0.0
187,3,2,31,2,356,1,0.13,901.36,1802.72,0.12,1,178,5207.35,2603.68
188,4,8,32,9,1089,5,0,0,0,0,4,544,9073.04,0
189,3,2,11,7,896,2,0,1307.97,9155.79,0,3,448,4875.22,2437.61
190,0,3,43,2,282,1,0.07,0,0,0.14,1,141,0,0
191,3,11,13,10,1510,2,0.1,1444.71,14447.1,0.11,5,755,7061.04,0
192,4,4,26,10,1700,3,0,901.37,9013.7,0,5,850,6224.25,3112.12
193,3,2,41,2,200,2,0,574.83,1149.66,0,1,100,3870.76,0
194,0,1,18,8,1272,5,0.18,1408.63,11269.04,0.03,4,636,0,0.0
195,0,7,4,10,1510,5,0.19,0,0,0.04,5,755,3567.35,1783.67
196,0,7,16,7,966,5,0.15,579.77,4058.39,0.12,3,483,2165.89,1082.94
197,0,4,15,9,1224,3,0.14,1120.96,10088.64,0.08,4,612,7198.72,0
198,4,1,36,3,237,5,0.15,0,0,0.04,1,118,0,0
199,4,9,28,10,1030,5,0.03,1038.07,10380.7,0.14,5,515,0,0.0
200,0,7,5,7,441,5,0.02,802.01,5614.07,0.07,3,220,0,0
