,protocol_type,service,flag,src_bytes,dst_bytes,logged_in,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,labels
38,1,22,9,324,2302,1,22,28,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
39,1,61,5,0,0,0,228,13,0.06,0.07,255,13,0.05,0.07,0.0,0.0,1.0,1.0,0.0,0
40,1,19,5,0,0,0,50,11,0.22,0.08,255,63,0.25,0.02,0.01,0.0,1.0,1.0,0.0,0
41,1,2,5,0,0,0,262,12,0.05,0.06,255,9,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0
42,1,50,9,1591,372,1,1,2,1.0,0.0,181,147,0.81,0.02,0.01,0.0,0.0,0.0,0.0,1
43,2,40,9,146,105,0,4,2,0.5,0.5,255,2,0.01,0.66,0.99,0.0,0.0,0.0,0.0,1
44,1,22,9,290,3006,1,11,11,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
45,1,6,5,0,0,0,108,11,0.1,0.08,255,11,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0
46,2,45,9,28,0,0,80,80,1.0,0.0,255,80,0.31,0.02,0.31,0.0,0.0,0.0,0.0,0
47,1,22,9,255,861,1,44,44,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
48,1,19,9,334,0,1,2,2,1.0,0.0,4,38,1.0,0.0,1.0,0.18,0.0,0.0,0.0,0
49,1,19,5,0,0,0,258,17,0.07,0.05,255,5,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0
50,1,22,9,302,498,1,10,10,1.0,0.0,131,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,1
51,1,45,1,0,0,0,61,4,0.07,0.1,255,4,0.02,0.08,0.0,0.0,0.0,0.0,1.0,0
52,2,45,9,28,0,0,2,2,1.0,0.0,255,2,0.01,0.02,0.01,0.0,0.0,0.0,0.77,0
53,1,22,9,220,1398,1,26,42,1.0,0.0,26,255,1.0,0.0,0.04,0.03,0.0,0.0,0.0,1
54,2,11,9,43,69,0,120,120,1.0,0.0,255,245,0.96,0.01,0.01,0.0,0.0,0.0,0.0,1
55,2,11,9,44,133,0,73,75,1.0,0.0,122,212,0.88,0.02,0.88,0.01,0.0,0.0,0.08,1
56,0,13,9,8,0,0,1,15,1.0,0.0,2,46,1.0,0.0,1.0,0.26,0.0,0.0,0.0,0
57,1,60,5,0,0,0,135,9,0.07,0.06,255,11,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0
58,1,17,5,0,0,0,24,12,0.5,0.08,255,59,0.23,0.04,0.0,0.0,1.0,1.0,0.0,0
59,2,11,9,43,43,0,148,228,1.0,0.0,255,255,1.0,0.0,0.01,0.0,0.0,0.0,0.0,1
60,1,19,9,641,0,1,2,2,1.0,0.0,175,48,0.25,0.02,0.25,0.04,0.0,0.0,0.0,1
61,1,45,1,0,0,0,206,4,0.02,0.06,255,4,0.02,0.08,0.0,0.0,0.0,0.0,1.0,0
62,1,45,1,0,0,0,175,1,0.01,1.0,255,1,0.0,0.84,0.0,0.0,0.07,0.0,0.62,0
63,1,22,9,310,2794,1,4,4,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
64,1,45,1,0,0,0,63,10,0.16,0.08,255,10,0.04,0.07,0.0,0.0,0.0,0.0,1.0,0
65,1,50,9,696,333,1,1,1,1.0,0.0,109,133,0.39,0.04,0.01,0.02,0.0,0.0,0.0,1
66,1,33,4,0,0,0,1,1,1.0,0.0,236,1,0.0,0.58,0.58,0.0,0.0,0.0,0.58,0
67,1,22,5,0,0,0,52,19,0.37,0.08,255,67,0.26,0.02,0.0,0.0,1.0,1.0,0.0,0
68,1,33,1,0,0,0,125,7,0.06,0.06,255,6,0.02,0.07,0.0,0.0,0.0,0.0,1.0,0
69,1,54,5,0,0,0,168,21,0.12,0.06,255,21,0.08,0.06,0.0,0.0,1.0,1.0,0.0,0
70,1,22,9,221,2878,1,1,1,1.0,0.0,21,58,1.0,0.0,0.05,0.03,0.0,0.0,0.0,1
71,1,45,5,0,0,0,145,16,0.11,0.06,255,31,0.12,0.05,0.0,0.0,1.0,1.0,0.0,0
72,0,59,9,181,0,0,3,2,0.67,0.67,255,93,0.36,0.01,0.46,0.0,0.0,0.0,0.0,1
73,2,11,9,42,42,0,9,14,1.0,0.0,84,83,0.99,0.02,0.01,0.0,0.0,0.0,0.0,1
74,1,45,5,0,0,0,138,6,0.04,0.06,255,6,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0
75,1,19,9,12,0,1,1,1,1.0,0.0,44,47,0.55,0.07,0.55,0.04,0.0,0.0,0.0,1
76,1,3,5,0,0,0,276,9,0.03,0.06,255,9,0.04,0.06,0.0,0.0,1.0,1.0,0.0,0
77,1,22,9,210,2790,1,10,27,1.0,0.0,48,255,1.0,0.0,0.02,0.09,0.0,0.0,0.0,1
78,1,22,9,321,5683,1,10,10,1.0,0.0,168,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,1
79,1,45,1,0,0,0,248,8,0.03,0.06,255,8,0.03,0.07,0.0,0.0,0.0,0.0,1.0,0
80,1,22,9,329,3982,1,2,31,1.0,0.0,24,255,1.0,0.0,0.04,0.05,0.0,0.0,0.0,1
81,1,61,1,0,0,0,135,7,0.05,0.07,255,7,0.03,0.07,0.0,0.0,0.0,0.0,1.0,0
82,1,10,5,0,0,0,220,19,0.09,0.05,255,2,0.01,0.07,0.0,0.0,1.0,1.0,0.0,0
83,0,13,9,8,0,0,1,44,1.0,0.0,1,95,1.0,0.0,1.0,0.51,0.0,0.0,0.0,0
84,1,22,9,320,379,1,9,9,1.0,0.0,123,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,1
85,1,45,5,0,0,0,212,7,0.03,0.05,72,7,0.1,0.11,0.01,0.0,0.97,1.0,0.0,0
86,1,22,9,225,3762,1,10,10,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
87,1,18,5,0,0,0,250,13,0.05,0.06,255,1,0.0,0.07,0.0,0.0,1.0,1.0,0.0,0
88,1,45,1,0,0,0,132,15,0.11,0.05,255,15,0.06,0.06,0.0,0.0,0.0,0.0,1.0,0
89,2,40,9,146,105,0,3,2,0.67,0.67,117,2,0.02,0.54,0.78,0.0,0.0,0.0,0.0,1
90,1,22,9,247,1416,1,11,11,1.0,0.0,156,255,1.0,0.0,0.01,0.09,0.0,0.0,0.46,1
91,1,22,9,353,1483,1,3,9,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
92,2,11,9,44,44,0,109,189,0.99,0.02,255,254,1.0,0.01,0.01,0.0,0.0,0.0,0.0,1
93,1,45,1,0,0,0,146,18,0.12,0.05,255,10,0.04,0.08,0.0,0.0,0.0,0.0,1.0,0
94,1,6,5,0,0,0,300,6,0.02,0.06,255,3,0.01,0.07,0.0,0.0,1.0,1.0,0.0,0
95,1,50,9,3065,331,1,1,2,1.0,0.0,243,119,0.48,0.02,0.0,0.02,0.01,0.02,0.0,1
96,2,40,9,102,102,0,1,1,1.0,0.0,7,1,0.14,0.29,0.14,0.0,0.0,0.0,0.0,1
97,1,22,9,259,750,1,4,5,1.0,0.0,4,255,1.0,0.0,0.25,0.03,0.0,0.0,0.0,1
98,2,40,9,147,105,0,2,2,1.0,0.0,255,2,0.01,0.42,0.86,0.0,0.0,0.0,0.0,1
99,1,45,5,0,0,0,129,16,0.12,0.05,255,12,0.05,0.05,0.0,0.0,1.0,1.0,0.0,0
100,1,22,9,0,354,0,32,32,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
101,1,22,9,309,306,1,1,1,1.0,0.0,66,255,1.0,0.0,0.02,0.02,0.0,0.0,0.0,1
102,1,22,1,0,0,0,1,2,1.0,0.0,1,247,1.0,0.0,1.0,0.15,0.0,0.0,1.0,1
103,1,22,9,278,7227,1,3,3,1.0,0.0,153,255,1.0,0.0,0.01,0.05,0.0,0.0,0.0,1
104,2,45,9,28,0,0,82,82,1.0,0.0,255,182,0.71,0.29,0.71,0.0,0.09,0.0,0.2,0
105,1,22,9,313,761,1,1,1,1.0,0.0,43,255,1.0,0.0,0.02,0.03,0.0,0.0,0.0,1
106,1,22,9,219,1212,1,15,15,1.0,0.0,242,255,1.0,0.0,0.0,0.01,0.0,0.0,0.0,1
107,1,22,9,245,9165,1,2,3,1.0,0.0,10,255,1.0,0.0,0.1,0.05,0.0,0.0,0.0,1
108,1,22,9,328,2243,1,21,21,1.0,0.0,21,255,1.0,0.0,0.05,0.04,0.0,0.0,0.0,1
109,1,22,1,0,0,0,1,1,1.0,0.0,23,249,1.0,0.0,0.04,0.1,0.0,0.0,1.0,1
110,1,22,9,251,301,1,3,7,1.0,0.0,255,252,0.99,0.01,0.0,0.0,0.0,0.0,0.0,1
111,1,50,9,2089,335,1,2,2,0.5,1.0,255,152,0.6,0.03,0.0,0.0,0.01,0.02,0.0,1
112,1,22,1,0,0,0,1,1,1.0,0.0,6,255,1.0,0.0,0.17,0.21,0.0,0.0,1.0,1
113,1,22,9,237,511,1,1,1,1.0,0.0,3,255,1.0,0.0,0.33,0.01,0.0,0.0,0.0,1
114,1,22,9,324,431,1,4,5,1.0,0.0,107,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,1
115,1,45,4,1,0,0,2,2,1.0,0.0,255,2,0.01,0.69,1.0,0.0,0.0,0.0,1.0,0
116,1,2,1,0,0,0,110,17,0.15,0.05,255,17,0.07,0.07,0.0,0.0,0.0,0.0,1.0,0
117,2,45,9,105,145,0,4,1,0.25,0.5,255,239,0.94,0.01,0.0,0.0,0.0,0.0,0.0,1
118,1,22,9,218,974,1,6,6,1.0,0.0,6,255,1.0,0.0,0.17,0.02,0.0,0.01,0.0,1
119,1,22,9,325,2649,1,7,7,1.0,0.0,107,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,1
120,1,61,1,0,0,0,246,20,0.08,0.07,255,20,0.08,0.07,0.0,0.0,0.0,0.0,1.0,0
121,1,4,1,0,0,0,272,19,0.07,0.07,255,19,0.07,0.08,0.0,0.0,0.0,0.0,1.0,0
122,1,6,5,0,0,0,259,8,0.03,0.07,255,8,0.03,0.08,0.0,0.0,1.0,1.0,0.0,0
123,1,22,9,328,275,1,9,10,1.0,0.0,255,250,0.98,0.01,0.0,0.0,0.0,0.0,0.0,1
124,1,4,5,0,0,0,294,6,0.02,0.05,255,8,0.03,0.07,0.0,0.0,1.0,1.0,0.0,0
125,1,17,9,9,138,0,1,1,1.0,0.0,195,10,0.03,0.03,0.01,0.2,0.01,0.0,0.01,1
126,2,11,9,46,46,0,96,178,1.0,0.0,255,254,1.0,0.01,0.01,0.0,0.0,0.0,0.0,1
127,1,50,9,1079,334,1,1,1,1.0,0.0,138,167,0.57,0.03,0.01,0.01,0.0,0.0,0.0,1
128,2,11,9,45,139,0,79,159,1.0,0.0,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,1
129,1,18,9,273,903,1,1,1,1.0,0.0,176,49,0.28,0.02,0.01,0.0,0.01,0.02,0.0,1
130,1,45,5,0,0,0,190,20,0.11,0.06,255,20,0.08,0.08,0.0,0.0,1.0,1.0,0.0,0
131,1,28,1,0,0,0,135,5,0.04,0.06,255,1,0.0,0.07,0.0,0.0,0.0,0.0,1.0,0
132,1,22,9,237,138,1,2,2,1.0,0.0,2,2,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1
133,1,22,9,225,1357,1,1,1,1.0,0.0,5,255,1.0,0.0,0.2,0.02,0.0,0.0,0.0,1
134,1,45,5,0,0,0,123,7,0.06,0.06,255,7,0.03,0.08,0.0,0.0,1.0,1.0,0.0,0
135,1,54,5,0,0,0,245,20,0.08,0.06,255,7,0.03,0.07,0.0,0.0,1.0,1.0,0.0,0
136,2,40,9,147,0,0,3,1,0.33,0.67,255,1,0.0,0.61,0.97,0.0,0.0,0.0,0.0,1
137,1,22,9,262,1011,1,3,4,1.0,0.0,94,255,1.0,0.0,0.02,0.01,0.0,0.0,0.0,1
138,0,14,9,1032,0,0,263,263,1.0,0.0,255,255,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0
139,1,45,5,0,0,0,109,13,0.12,0.06,255,7,0.03,0.06,0.0,0.0,1.0,1.0,0.0,0
140,1,22,9,261,8412,1,9,9,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
141,1,4,1,0,0,0,145,8,0.06,0.08,255,8,0.03,0.09,0.0,0.0,0.0,0.0,1.0,0
142,1,33,1,0,0,0,250,2,0.01,0.07,255,2,0.01,0.07,0.0,0.0,0.0,0.0,1.0,0
143,1,22,9,294,1719,1,8,8,1.0,0.0,108,255,1.0,0.0,0.01,0.01,0.0,0.0,0.0,1
144,1,22,9,221,981,1,2,3,1.0,0.0,50,82,1.0,0.0,0.02,0.04,0.0,0.0,0.0,1
145,1,22,9,284,10352,1,2,2,1.0,0.0,11,255,1.0,0.0,0.09,0.07,0.0,0.0,0.0,1
146,1,20,10,0,0,0,1,1,1.0,0.0,255,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0
147,1,22,9,309,16096,1,3,3,1.0,0.0,31,129,1.0,0.0,0.03,0.02,0.0,0.0,0.0,1
148,1,19,9,334,0,1,2,2,1.0,0.0,6,26,1.0,0.0,1.0,0.19,0.0,0.0,0.0,0
149,1,56,5,0,0,0,13,4,0.31,0.31,255,64,0.25,0.02,0.01,0.0,1.0,1.0,0.0,0
150,1,45,5,0,0,0,87,1,0.01,0.07,255,1,0.0,0.06,0.0,0.0,1.0,1.0,0.0,0
151,1,22,9,214,283,1,2,2,1.0,0.0,27,255,1.0,0.0,0.04,0.05,0.0,0.01,0.0,1
152,1,62,5,0,0,0,292,13,0.04,0.05,255,14,0.05,0.08,0.0,0.0,1.0,1.0,0.0,0
153,1,55,5,0,0,0,295,18,0.06,0.05,255,1,0.0,0.08,0.0,0.0,1.0,1.0,0.0,0
154,1,23,5,0,0,0,143,15,0.1,0.06,255,15,0.06,0.05,0.0,0.0,1.0,1.0,0.0,0
155,2,11,9,46,78,0,278,277,1.0,0.01,255,254,1.0,0.01,0.0,0.0,0.0,0.0,0.0,1
156,1,19,9,748,0,1,1,1,1.0,0.0,6,92,0.83,0.33,0.83,0.03,0.0,0.0,0.0,1
157,1,15,5,0,0,0,102,19,0.19,0.06,255,18,0.07,0.06,0.0,0.0,1.0,1.0,0.0,0
158,0,13,9,8,0,0,1,46,1.0,0.0,1,15,1.0,0.0,1.0,0.53,0.0,0.0,0.0,0
159,1,63,5,0,0,0,251,3,0.01,0.07,255,3,0.01,0.08,0.0,0.0,1.0,1.0,0.0,0
160,1,22,9,329,8437,1,4,4,1.0,0.0,83,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,1
161,1,19,9,9,0,1,2,2,1.0,0.0,185,119,0.5,0.38,0.5,0.02,0.0,0.0,0.37,1
162,2,11,9,46,128,0,222,302,1.0,0.0,255,253,0.99,0.01,0.0,0.0,0.0,0.0,0.0,1
163,1,19,9,1766,0,1,2,2,1.0,0.0,255,6,0.02,0.02,0.02,0.0,0.0,0.0,0.83,1
164,1,47,5,0,0,0,260,4,0.02,0.06,255,4,0.02,0.07,0.0,0.0,1.0,1.0,0.0,0
165,1,40,4,1,0,0,2,2,1.0,0.0,255,2,0.01,0.74,1.0,0.0,0.0,0.0,1.0,0
166,1,17,9,8,135,0,1,1,1.0,0.0,196,6,0.03,0.03,0.01,0.33,0.0,0.0,0.01,1
167,1,22,9,266,529,1,1,6,1.0,0.0,94,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,1
168,1,19,9,245,0,0,3,2,0.67,0.67,99,68,0.32,0.06,0.32,0.03,0.0,0.0,0.0,1
169,1,22,9,295,465,1,11,12,1.0,0.0,69,255,1.0,0.0,0.01,0.04,0.0,0.0,0.0,1
170,1,20,5,0,0,0,44,12,0.27,0.11,255,12,0.05,0.08,0.0,0.0,1.0,1.0,0.0,0
171,1,22,9,228,6834,1,2,7,1.0,0.0,18,19,1.0,0.0,0.06,0.11,0.0,0.0,0.0,1
172,0,14,9,1032,0,0,511,511,1.0,0.0,255,212,0.83,0.02,0.83,0.0,0.0,0.0,0.0,0
173,1,24,1,0,0,0,272,15,0.06,0.06,255,15,0.06,0.07,0.0,0.0,0.0,0.0,1.0,0
174,1,45,5,0,0,0,122,19,0.16,0.07,255,19,0.07,0.05,0.0,0.0,1.0,1.0,0.0,0
175,1,63,5,0,0,0,287,3,0.01,0.05,255,3,0.01,0.05,0.0,0.0,1.0,1.0,0.0,0
176,1,22,1,0,0,0,1,3,1.0,0.0,118,195,1.0,0.0,0.01,0.02,0.0,0.0,0.74,1
177,1,40,1,0,0,0,486,1,0.0,0.95,255,1,0.0,0.91,0.0,0.0,0.11,0.0,0.89,0
178,2,40,9,1,0,0,22,6,0.27,0.09,255,6,0.02,0.06,1.0,0.0,0.0,0.0,0.0,0
179,1,25,5,0,0,0,286,9,0.03,0.06,255,11,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0
180,0,14,9,30,0,0,1,1,1.0,0.0,247,247,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1
181,1,50,9,2078,333,1,1,2,1.0,0.0,89,117,0.31,0.03,0.01,0.02,0.0,0.0,0.0,1
182,1,19,9,19,0,0,1,1,1.0,0.0,201,5,0.02,0.04,0.02,0.0,0.0,0.0,0.0,1
183,1,50,9,661,329,1,1,1,1.0,0.0,163,69,0.36,0.02,0.01,0.03,0.0,0.0,0.0,1
184,2,45,9,28,0,0,35,34,0.97,0.06,255,34,0.13,0.02,0.13,0.0,0.0,0.0,0.67,0
185,1,19,5,0,0,0,28,2,0.07,0.14,255,42,0.16,0.03,0.0,0.0,1.0,1.0,0.0,0
186,1,45,5,0,0,0,108,18,0.17,0.07,255,18,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0
187,1,45,5,0,0,0,101,5,0.05,0.06,255,15,0.06,0.07,0.0,0.0,1.0,1.0,0.0,0
188,1,50,9,1075,364,1,1,2,1.0,0.0,255,100,0.39,0.17,0.0,0.0,0.0,0.0,0.0,1
189,1,22,9,223,656,1,12,21,1.0,0.0,172,255,1.0,0.0,0.01,0.02,0.0,0.0,0.0,1
190,1,18,9,350,1185,1,1,2,1.0,0.0,255,142,0.56,0.02,0.0,0.0,0.0,0.0,0.0,0
191,1,22,9,233,2470,1,10,10,1.0,0.0,32,255,1.0,0.0,0.03,0.01,0.0,0.0,0.0,1
192,1,45,5,0,0,0,223,10,0.04,0.07,255,9,0.04,0.05,0.0,0.0,1.0,1.0,0.0,0
193,1,12,5,0,0,0,223,17,0.08,0.06,255,17,0.07,0.06,0.0,0.0,1.0,1.0,0.0,0
194,1,22,9,201,1938,1,19,34,1.0,0.0,44,255,1.0,0.0,0.02,0.03,0.0,0.0,0.0,1
195,1,22,9,271,4781,1,4,7,1.0,0.0,11,28,1.0,0.0,0.09,0.25,0.0,0.0,0.0,1
196,1,19,9,14416,0,1,1,1,1.0,0.0,205,50,0.19,0.02,0.19,0.04,0.0,0.0,0.0,1
197,1,22,9,227,11564,1,5,6,1.0,0.0,41,52,1.0,0.0,0.02,0.04,0.0,0.0,0.0,1
198,1,45,1,0,0,0,406,1,0.0,0.52,255,1,0.0,0.52,1.0,0.0,0.0,0.0,1.0,0
199,1,22,9,225,2445,1,4,5,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
200,1,22,9,176,426,1,6,6,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
201,1,26,5,0,0,0,143,14,0.1,0.06,255,14,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0
202,1,22,9,227,762,1,17,17,1.0,0.0,202,255,1.0,0.0,0.0,0.02,0.0,0.0,0.0,1
203,1,50,9,855,575,1,1,1,1.0,0.0,255,20,0.08,0.02,0.0,0.0,0.0,0.0,0.0,1
204,1,50,9,944,330,1,1,1,1.0,0.0,214,166,0.63,0.02,0.0,0.01,0.0,0.0,0.0,1
205,1,50,9,954,326,1,2,1,0.5,1.0,28,104,0.71,0.11,0.04,0.02,0.0,0.0,0.0,1
206,1,61,5,0,0,0,201,18,0.09,0.06,255,18,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0
207,1,22,9,166,34660,1,1,1,1.0,0.0,16,255,1.0,0.0,0.06,0.06,0.0,0.0,0.0,1
208,1,22,9,306,2698,1,4,5,1.0,0.0,255,240,0.94,0.01,0.0,0.0,0.0,0.0,0.01,1
209,1,34,5,0,0,0,124,19,0.15,0.05,255,19,0.07,0.05,0.0,0.0,1.0,1.0,0.0,0
210,1,45,1,0,0,0,162,1,0.01,1.0,255,1,0.0,0.8,0.0,0.0,0.03,0.0,0.61,0
211,0,14,9,1480,0,0,2,4,1.0,0.0,2,38,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0
212,1,25,5,0,0,0,277,17,0.06,0.05,255,17,0.07,0.07,0.0,0.0,1.0,1.0,0.0,0
213,1,22,9,313,8549,1,4,4,1.0,0.0,255,255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
214,1,29,5,0,0,0,274,22,0.08,0.05,255,22,0.09,0.05,0.0,0.0,1.0,1.0,0.0,0
215,1,53,5,0,0,0,141,12,0.09,0.06,255,16,0.06,0.06,0.0,0.0,1.0,1.0,0.0,0
216,1,22,9,285,6008,1,3,3,1.0,0.0,128,255,1.0,0.0,0.01,0.01,0.0,0.0,0.01,1
217,1,22,9,226,1411,1,8,23,1.0,0.0,37,255,1.0,0.0,0.03,0.02,0.0,0.0,0.0,1
218,1,22,9,256,12984,1,1,1,1.0,0.0,34,255,1.0,0.0,0.03,0.04,0.0,0.0,0.0,1
219,1,50,9,3740,449,1,1,3,1.0,0.0,193,185,0.68,0.02,0.01,0.01,0.0,0.0,0.0,1
220,1,22,9,224,449,1,10,11,1.0,0.0,39,255,1.0,0.0,0.03,0.04,0.03,0.0,0.0,1
221,1,30,5,0,0,0,103,3,0.03,0.07,255,3,0.01,0.07,0.0,0.0,1.0,1.0,0.0,0
222,1,19,9,832,0,1,1,1,1.0,0.0,3,28,1.0,0.0,1.0,0.18,0.0,0.0,0.0,0
223,1,17,5,0,0,0,246,20,0.08,0.06,255,20,0.08,0.07,0.0,0.0,1.0,1.0,0.0,0
224,0,13,9,8,0,0,1,50,1.0,0.0,1,25,1.0,0.0,1.0,0.56,0.0,0.0,0.0,0
225,1,22,9,201,169,1,7,7,1.0,0.0,29,255,1.0,0.0,0.03,0.04,0.03,0.0,0.0,1
